,author_id,text,lang,entities,username,public_metrics,verified,url,followers_count,following_count,tweet_count
0,1570780275340374019,"RT @BrooTrades75: Updated Rate

Crypto - Gcash Trade 

DM me now 😊 https://t.co/4nCIl2iTDy",,"{'mentions': [{'start': 3, 'end': 16, 'username': 'BrooTrades75', 'id': '1485234461977776130'}]}",TanashiSorachi,"{'followers_count': 98, 'following_count': 3915, 'tweet_count': 23782, 'listed_count': 0}",False,https://twitter.com/TanashiSorachi/status/1570780275340374019,98,3915,23782
1,1570780274866421760,"@Accomplished329 @AltCryptoGems THIS IS A PROJECT WHICH IS INNOVATIIVE &amp; LOOKS SO IIMPACTFUL!! I'M SO OVERWHELMED TO BE PART OF A PROJECT THIS HUGE, DEVS WORKING HARD BTS !

https://t.co/EiDkNHyrMx 🌐
https://t.co/rbjpalX18S 💬
https://t.co/6GHLuNMWbk… 📈

#I3EM #CRYPTO #WEB3 #APPUTILITY #CRYPTOCOMMUNITY",,"{'mentions': [{'start': 0, 'end': 16, 'username': 'Accomplished329', 'id': '1541728026077052929'}, {'start': 17, 'end': 31, 'username': 'AltCryptoGems', 'id': '1372196901936848901'}]}",Themoonsdas,"{'followers_count': 7, 'following_count': 117, 'tweet_count': 3053, 'listed_count': 4}",False,https://twitter.com/Themoonsdas/status/1570780274866421760,7,117,3053
2,1570780274509873152,"RT @shaunmateyt: 🎁$25 Crypto Giveaway!

Rules:
✅Follow Me
✅Retweet + Like this tweet
✅Like + Comment this video
https://t.co/mAT06Xulli

Wi…",,"{'mentions': [{'start': 3, 'end': 15, 'username': 'shaunmateyt', 'id': '880263027685076992'}]}",vanorfanx,"{'followers_count': 316, 'following_count': 3037, 'tweet_count': 13884, 'listed_count': 0}",False,https://twitter.com/vanorfanx/status/1570780274509873152,316,3037,13884
3,1570780273926901761,"@Crypto_ninjaa @G0LDENHILLS wax - c.mag.wam
@MmVishnevsky
@syritskayahnlt
@VNatalka1994",,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Crypto_ninjaa', 'id': '103064422'}, {'start': 15, 'end': 27, 'username': 'G0LDENHILLS', 'id': '1567206629120118786'}, {'start': 44, 'end': 57, 'username': 'MmVishnevsky', 'id': '1864453368'}, {'start': 58, 'end': 73, 'username': 'syritskayahnlt', 'id': '1447526749303083013'}, {'start': 74, 'end': 87, 'username': 'VNatalka1994', 'id': '1436300636602216448'}]}",onchurovawha,"{'followers_count': 124, 'following_count': 571, 'tweet_count': 641, 'listed_count': 0}",False,https://twitter.com/onchurovawha/status/1570780273926901761,124,571,641
4,1570780273268387840,RT @LynAldenContact: The WH report on crypto assets and energy/climate cited some good examples of stranded energy usage but was unfortunat…,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'LynAldenContact', 'id': '823766058909761536'}]}",ChloeWhiteAus,"{'followers_count': 3965, 'following_count': 63, 'tweet_count': 958, 'listed_count': 43}",False,https://twitter.com/ChloeWhiteAus/status/1570780273268387840,3965,63,958
5,1570780272811212807,whitelist Detailed @ItzKman101B @Malomoh1 @gienhurte @unickaaa @BlaiseRyan88 @NotChrolloo @donkixotik_ll @KieranPerez8 @crypto_egld123 @AoifeZalika @Babzilli @8Alme8 @daddychico07 @b0obmaster69 @BabuDad90605449 https://t.co/b5Q12Zj8yH,,"{'mentions': [{'start': 19, 'end': 31, 'username': 'ItzKman101B', 'id': '359602897'}, {'start': 32, 'end': 41, 'username': 'Malomoh1', 'id': '1391078006936985601'}, {'start': 42, 'end': 52, 'username': 'gienhurte', 'id': '1466635635066769408'}, {'start': 53, 'end': 62, 'username': 'unickaaa', 'id': '1478719406041673729'}, {'start': 63, 'end': 76, 'username': 'BlaiseRyan88', 'id': '1505479115591270404'}, {'start': 77, 'end': 89, 'username': 'NotChrolloo', 'id': '1191669097710395394'}, {'start': 90, 'end': 104, 'username': 'donkixotik_ll', 'id': '1510657005970731011'}, {'start': 105, 'end': 118, 'username': 'KieranPerez8', 'id': '1467744781035966464'}, {'start': 119, 'end': 134, 'username': 'crypto_egld123', 'id': '1474791628749557761'}, {'start': 135, 'end': 147, 'username': 'AoifeZalika', 'id': '1359802071013199872'}, {'start': 148, 'end': 157, 'username': 'Babzilli', 'id': '1021406214125744129'}, {'start': 158, 'end': 165, 'username': '8Alme8', 'id': '1459503438639898627'}, {'start': 166, 'end': 179, 'username': 'daddychico07', 'id': '1473593785372135427'}, {'start': 180, 'end': 193, 'username': 'b0obmaster69', 'id': '1489976564246724608'}, {'start': 194, 'end': 210, 'username': 'BabuDad90605449', 'id': '1420391637058953217'}]}",GhostsNft84,"{'followers_count': 0, 'following_count': 3, 'tweet_count': 24, 'listed_count': 0}",False,https://twitter.com/GhostsNft84/status/1570780272811212807,0,3,24
6,1570780272756658176,"RT @OrkesNFT: 💜Good morning #Orkes!

🎁Our #GiveLab #Giveaway launched on #Gleam platform. Try to win WL spots, $ORK token and other prizes!…",,"{'mentions': [{'start': 3, 'end': 12, 'username': 'OrkesNFT', 'id': '1549029999684067328'}]}",ritacassiabs,"{'followers_count': 95, 'following_count': 3747, 'tweet_count': 1680, 'listed_count': 0}",False,https://twitter.com/ritacassiabs/status/1570780272756658176,95,3747,1680
7,1570780272706359298,"@Hasnazy @Crypto_girl321 @obito0077
@blockchaingods_
@cometcalls
@1goonrich
@Medusacrypto_

I respectfully believe that nothing  beats 0×token in this space . it's glaring obvious because 0×token hold get a fixed reward through  0×token starting protocol daily
#bitcoin #crypto 
  https://t.co/OAUfOZ08gy",,"{'mentions': [{'start': 0, 'end': 8, 'username': 'Hasnazy', 'id': '969351094315995136'}, {'start': 9, 'end': 24, 'username': 'Crypto_girl321', 'id': '1497645496764178435'}, {'start': 25, 'end': 35, 'username': 'Obito0077', 'id': '1242096927652687873'}, {'start': 36, 'end': 52, 'username': 'BlockChainGods_', 'id': '1469891215717974016'}, {'start': 53, 'end': 64, 'username': 'CometCalls', 'id': '1419659978437181444'}, {'start': 65, 'end': 75, 'username': '1goonrich', 'id': '766578266'}, {'start': 76, 'end': 90, 'username': 'MedusaCrypto_', 'id': '1538855014583738369'}]}",clean28468721,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 2503, 'listed_count': 0}",False,https://twitter.com/clean28468721/status/1570780272706359298,0,1,2503
8,1570780272366612480,"@rokon32811 @AmuletProtocol @Crypto_GA_Arena VICDAO $NELUM
SOFT-CAP reached
After only 1 hour 300BNB softcap has been filled
✅A project from the Team VICMOVE (x70ATH)
✅App:Staking,Live,Chart,DAO,DEX
✅CMC &amp; CGK after listing 
✅Sale live till:2pm UTC 18/9
✅Top 1 Trending Pinksale
https://t.co/07vqEvPSlz
@VICDAOOfficial",,"{'mentions': [{'start': 0, 'end': 11, 'username': 'rokon32811', 'id': '1380410642004287489'}, {'start': 12, 'end': 27, 'username': 'AmuletProtocol', 'id': '1471061535652986880'}, {'start': 28, 'end': 44, 'username': 'Crypto_GA_Arena', 'id': '741077262250835968'}, {'start': 307, 'end': 322, 'username': 'VICDAOOfficial', 'id': '1556111009659891714'}]}",Temi144543099,"{'followers_count': 0, 'following_count': 9, 'tweet_count': 1305, 'listed_count': 1}",False,https://twitter.com/Temi144543099/status/1570780272366612480,0,9,1305
9,1570780272345612288,"@Magical8mermaid #P2PTaxi will be listed on #BitMart. The Cex will anounce the date. The world's first decentralized Taxi payment system with crypto @p2p_taxi. #Web3 project. #P2PTaxi #p2ptaxi #p2ptxt

https://t.co/Wu5RVLNJAQ",,"{'mentions': [{'start': 0, 'end': 16, 'username': 'Magical8mermaid', 'id': '3323173818'}, {'start': 149, 'end': 158, 'username': 'p2p_taxi', 'id': '1379416578551332865'}]}",ertunctrhn,"{'followers_count': 32, 'following_count': 196, 'tweet_count': 2397, 'listed_count': 0}",False,https://twitter.com/ertunctrhn/status/1570780272345612288,32,196,2397
